Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
NOV,National Oilwell Varco Inc.,28-Oct-19,19-Sep,0.1,-0.61,-0.71,-710
AIV,Apartment Investment & Management,31-Oct-19,19-Sep,0.63,0.01,-0.62,-98.4
SBAC,SBA Communications,28-Oct-19,19-Sep,2.08,0.19,-1.89,-90.8
DLR,Digital Realty Trust Inc,29-Oct-19,19-Sep,1.64,0.24,-1.4,-85.3
UDR,UDR Inc.,29-Oct-19,19-Sep,0.52,0.09,-0.43,-82.6
WYNN,Wynn Resorts Ltd,6-Nov-19,19-Sep,0.88,0.17,-0.71,-80.6
VTR,Ventas Inc,25-Oct-19,19-Sep,0.94,0.23,-0.71,-75.5
FTI,TechnipFMC,23-Oct-19,19-Sep,0.49,0.12,-0.37,-75.5
EQIX,Equinix,30-Oct-19,19-Sep,5.45,1.41,-4.04,-74.1
OXY,Occidental Petroleum,4-Nov-19,19-Sep,0.41,0.11,-0.3,-73.1
MOS,The Mosaic Company,4-Nov-19,19-Sep,0.27,0.08,-0.19,-70.3
MAA,Mid-America Apartments,30-Oct-19,19-Sep,1.55,0.49,-1.06,-68.3
VNO,Vornado Realty Trust,28-Oct-19,19-Sep,0.87,0.28,-0.59,-67.8
REG,Regency Centers Corporation,30-Oct-19,19-Sep,0.96,0.34,-0.62,-64.5
KIM,Kimco Realty,24-Oct-19,19-Sep,0.36,0.14,-0.22,-61.1
O,Realty Income Corporation,4-Nov-19,19-Sep,0.83,0.33,-0.5,-60.2
NLOK,NortonLifeLock,7-Nov-19,19-Sep,0.42,0.18,-0.24,-57.1
ESS,Essex Property Trust Inc.,23-Oct-19,19-Sep,3.36,1.51,-1.85,-55
FRT,Federal Realty Investment Trust,30-Oct-19,19-Sep,1.59,0.84,-0.75,-47.1
IRM,Iron Mountain Incorporated,31-Oct-19,19-Sep,0.59,0.32,-0.27,-45.7
AIG,American International Group,1-Nov-19,19-Sep,0.99,0.56,-0.43,-43.4
SPG,Simon Property Group Inc,30-Oct-19,19-Sep,3.05,1.77,-1.28,-41.9
TRV,The Travelers Companies Inc.,22-Oct-19,19-Sep,2.38,1.43,-0.95,-39.9
EXR,Extra Space Storage,29-Oct-19,19-Sep,1.24,0.83,-0.41,-33
PSA,Public Storage,29-Oct-19,19-Sep,2.74,1.93,-0.81,-29.5
BA,Boeing Company,23-Oct-19,19-Sep,2.04,1.45,-0.59,-28.9
